"instrument_token","tradingsymbol","name","exchange","segment","instrument_type","lot_size","tick_size","is_active","metadata","created_at","updated_at","market_cap","sector"
"770561","AXISTECETF","AXISAMC - AXISTECETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:55.051831+00","2026-02-05 12:45:55.051836+00","0",NULL
"773633","SDL26BEES","RELCAPAMC-NETFSDL26","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:55.50296+00","2026-02-05 12:45:55.502965+00","0",NULL
"1336321","BFSI","MIRAEAMC - MAFSETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:23.40504+00","2026-02-05 12:46:23.405052+00","0",NULL
"812033","GILT5YBEES","RELCAPAMC - NETFGILT5Y","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:57.392824+00","2026-02-05 12:45:57.392828+00","0",NULL
"903681","AXISBPSETF","AXISAMC - AXISBPSETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:03.782886+00","2026-02-05 12:46:03.782889+00","0",NULL
"923649","AXISHCETF","AXISAMC - AXISHCETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:05.058668+00","2026-02-05 12:46:05.058671+00","0",NULL
"1120769","SENSEXIETF","ICICI PRUD SENSEX ETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:14.583006+00","2026-02-05 12:46:14.583014+00","0",NULL
"184833","SBIETFPB","SBIAMC - SBIETFPB","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:20.062522+00","2026-02-05 12:45:20.062533+00","0",NULL
"189441","SBIETFIT","SBIAMC - SBIETFIT","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:20.278852+00","2026-02-05 12:45:20.278861+00","0",NULL
"267265","AXISBNKETF","AXISAMC - AXISBNKETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:24.508515+00","2026-02-05 12:45:24.508528+00","0",NULL
"307201","ESG","MIRAEAMC - MAESGETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:27.336819+00","2026-02-05 12:45:27.336827+00","0",NULL
"493313","LIQUIDETF","DSP LIQUID ETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:38.313051+00","2026-02-05 12:45:38.31306+00","0",NULL
"1273089","PHARMABEES","NIPPONAMC - NETFPHARMA","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:20.986782+00","2026-02-05 12:46:20.986791+00","0",NULL
"1323009","SBIETFCON","SBIAMC - SBIETFCON","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:22.953215+00","2026-02-05 12:46:22.953225+00","0",NULL
"595969","CPSEETF","CPSE ETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:44.666435+00","2026-02-05 12:45:44.66644+00","0",NULL
"623361","CONSUMBEES","NIP IND ETF CONSUMPTION","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:45.986367+00","2026-02-05 12:45:45.986376+00","0",NULL
"674817","DIVOPPBEES","NIP IND ETF DIV OPP","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:45:49.34546+00","2026-02-05 12:45:49.345469+00","0",NULL
"1467393","AXISCETF","AXISAMC - AXISCETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:28.355054+00","2026-02-05 12:46:28.355066+00","0",NULL
"1497857","BANKNIFTY1","KOTAKMAMC-KOTAKBKETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:28.829933+00","2026-02-05 12:46:28.829942+00","0",NULL
"1524993","BSLSENETFG","BIRLASLAMC - BSLSENETFG","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:29.566568+00","2026-02-05 12:46:29.56657+00","0",NULL
"1626369","NIFTYETF","MIRAEAMC - MAN50ETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:33.844938+00","2026-02-05 12:46:33.844947+00","0",NULL
"1691137","EQUAL50ADD","DSPAMC - DSPNEWETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:36.814238+00","2026-02-05 12:46:36.814242+00","0",NULL
